ontologyTermIRI	Atccode
http://www.UMCG.nl/b888772b7ff878c645714470f20f1996	A01
http://www.UMCG.nl/1ee7d505e11a6d0704988cecf5ef7387	A01A
http://www.UMCG.nl/251208a55a041cf1652197f1f9f300e8	A01A
http://www.UMCG.nl/43a22c6314e980a43972a06a9c8b8c40	A01A
http://www.UMCG.nl/4ba284fbe06b9a7a0e6da12e8eed8de2	A01A
http://www.UMCG.nl/5493117fc6f12ac08b530a4fa281206b	A01A
http://www.UMCG.nl/75d52faf5f70b0f065a5be1dc13269f3	A01A
http://www.UMCG.nl/82a5ee8d5b2f06deaade986bfb8ccf71	A01A
http://www.UMCG.nl/b697305c7ed8b6b6a1736faf507405f5	A01A
http://www.UMCG.nl/b888772b7ff878c645714470f20f1996	A01A
http://www.UMCG.nl/733d4a5aed3d5b6c6f046aaee672de29	A01AA
http://www.UMCG.nl/01f96adfa2f31a15cf222e0810ef8811	A01AA01
http://www.UMCG.nl/05bed8bbaa7a72f613db694e8c8ad7f1	A01AA01
http://www.UMCG.nl/08679efc106b06b64201b9d042fe4546	A01AA01
http://www.UMCG.nl/0eb056a8bff48c83aa899e938ae7e412	A01AA01
http://www.UMCG.nl/1186bf3c738fe088ec397545c21cb309	A01AA01
http://www.UMCG.nl/13463eff53b933f703be1952af8180ba	A01AA01
http://www.UMCG.nl/1ab1e53134ac953553771a60459b8f71	A01AA01
http://www.UMCG.nl/1abc00d65f8f8ebe913743fc432dc2fd	A01AA01
http://www.UMCG.nl/1c0ccdaefa39a0d90bc49908230da7c5	A01AA01
http://www.UMCG.nl/1caaa856c05c750ea5a32dd07b39943c	A01AA01
http://www.UMCG.nl/1ecdde8f2ad77507b9ecf88788959143	A01AA01
http://www.UMCG.nl/2c7394518aa3dfd0bafe4a2483e38d4a	A01AA01
http://www.UMCG.nl/2c9e396a343fef54dc00d406ff0ce9e4	A01AA01
http://www.UMCG.nl/2d584326c2906966f9be08f394f6a76f	A01AA01
http://www.UMCG.nl/3255593cb1ff28bad76007eb7494f3be	A01AA01
http://www.UMCG.nl/348a9160fe3b30534b1f13f49a5d4309	A01AA01
http://www.UMCG.nl/4382b8a4e9fe9abe97e8fc076b969129	A01AA01
http://www.UMCG.nl/44dfd982710dc566f5ab8eea897509b9	A01AA01
http://www.UMCG.nl/528bf8e44136f84d190bf365d2619df4	A01AA01
http://www.UMCG.nl/5f8f53183bf54718fd09c7145c8b252a	A01AA01
http://www.UMCG.nl/6238d75ce65fb0ff9bd3e33e69dcc6e8	A01AA01
http://www.UMCG.nl/6720b99c8d8e449fb0d40058d525c111	A01AA01
http://www.UMCG.nl/6961aedd26fba22b5ebd5c5e82b45538	A01AA01
http://www.UMCG.nl/703cf89b199b45013bed4b16a45ad31d	A01AA01
http://www.UMCG.nl/72c7b9ba5c8d25008f79c3494babcab9	A01AA01
http://www.UMCG.nl/7a3db1f612eef3972aff7f8ea098d448	A01AA01
http://www.UMCG.nl/821ff263ee3d619d37f4ba1ec2f5e26e	A01AA01
http://www.UMCG.nl/82d000471834b7645589441e8c5d6f01	A01AA01
http://www.UMCG.nl/8f15af379c903be2523b3baa6a51f2bc	A01AA01
http://www.UMCG.nl/93403cb3d6549ee02c97e634f26124d5	A01AA01
http://www.UMCG.nl/94b336d732f9587ffe029928a54ba085	A01AA01
http://www.UMCG.nl/94ca398beb7a1f0ec559531d7d1fbb37	A01AA01
http://www.UMCG.nl/9720b9884cec18440e569cd9ba8dec97	A01AA01
http://www.UMCG.nl/9c107e9b40aaa14c639e42d60b9f20a7	A01AA01
http://www.UMCG.nl/9da0362997168ad70874274e7b2368d0	A01AA01
http://www.UMCG.nl/9e158a688244998bdbbe213f8df33cfa	A01AA01
http://www.UMCG.nl/bb1a2d6b5d5ecde629a08fae44088205	A01AA01
http://www.UMCG.nl/c16ba7fa1db5fa3197b63d04190ba59a	A01AA01
http://www.UMCG.nl/ce517e644fec51ac845c47b75b8e58f2	A01AA01
http://www.UMCG.nl/e674a4aca0a161b3fb5ac2d20a126d3f	A01AA01
http://www.UMCG.nl/e9576ea0ed28af5efc258f5877834ded	A01AA01
http://www.UMCG.nl/e9c82e79c2e2e9d073596644797051ac	A01AA01
http://www.UMCG.nl/ea6554dcb7ff5423effaca9c38b0b01c	A01AA01
http://www.UMCG.nl/ec3f526fee41a215523e605631f13835	A01AA01
http://www.UMCG.nl/f1bd98988340a15a12f15733834c6160	A01AA01
http://www.UMCG.nl/f6a595f3813f543ecf4961261a1cafdc	A01AA01
http://www.UMCG.nl/fb6cbecefbdb425feea03f86462ebea3	A01AA01
http://www.UMCG.nl/fd163acefd51a49638a4fac6f30750d1	A01AA01
http://www.UMCG.nl/fee61978f7949e41e17cc1643ed8494f	A01AA01
http://www.UMCG.nl/953530ec63a28aa47db2082abcd1e213	A01AA02
http://www.UMCG.nl/42f20ab5196828edce098ba7347fd96e	A01AA03
http://www.UMCG.nl/48f9a2d61e7abea9c2c959c9c9f1d7b7	A01AA03
http://www.UMCG.nl/9485dd2fb6f8af93dfdd56e7ef2f729f	A01AA03
http://www.UMCG.nl/a20b48af5b1b39c02a48c5a871c70692	A01AA03
http://www.UMCG.nl/ba67e56cb7b6f8df1b830d9dedc526a2	A01AA03
http://www.UMCG.nl/c77f6ca6e21123fa822ca37699bd51da	A01AA03
http://www.UMCG.nl/d7e82273277fdbd45644d35b95434e8d	A01AA04
http://www.UMCG.nl/160f7956d8e4e57abafa1b5480346ffe	A01AA30
http://www.UMCG.nl/2354be5ee1a66fe5d44390986ad36ec9	A01AA30
http://www.UMCG.nl/93f717fc4f0ad0125a3fc4a896513415	A01AA30
http://www.UMCG.nl/97b2d91c69646d07bcf01eb690d477cf	A01AA30
http://www.UMCG.nl/c625ea9bf7ff950d9d2f2726e5013886	A01AA30
http://www.UMCG.nl/c77f6ca6e21123fa822ca37699bd51da	A01AA30
http://www.UMCG.nl/17b39beea71ba4f86bbbce0b355976f7	A01AA51
http://www.UMCG.nl/1b15d44e7b7e2b1e39bbc946fca260aa	A01AA51
http://www.UMCG.nl/43dda1cce14410ef50e90d23b992c25f	A01AA51
http://www.UMCG.nl/5a70b354ff5838e5592fca127e6f6b20	A01AA51
http://www.UMCG.nl/92c0aee91a3774f772a5fd9f42ca1f92	A01AA51
http://www.UMCG.nl/952c628896923ea7be0e2dfba9ef8422	A01AA51
http://www.UMCG.nl/aa3874a1c95b692087d382d001237823	A01AA51
http://www.UMCG.nl/ee8f956a70c39b93eb81b1a42bdeda5d	A01AA51
http://www.UMCG.nl/f43b8de1958f4e71d6596dd55755ff16	A01AA51
http://www.UMCG.nl/fcd439b6d729bb7030ade58734bd9575	A01AA51
http://www.UMCG.nl/6483426cc7021752f6361b4b9a9d2f90	A01AB
http://www.UMCG.nl/81660a71ee4e22b4d03a3cd86e1ad869	A01AB
http://www.UMCG.nl/af01713739c5a27ed6d847fa6167d45a	A01AB
http://www.UMCG.nl/b9b3ce4c0098ec5f60dd8c2cf13b7f00	A01AB
http://www.UMCG.nl/e256ee7e3632912a9c92d7b6a0e5da1c	A01AB
http://www.UMCG.nl/22bea208cb19ad08cf5ea2e5d371c265	A01AB02
http://www.UMCG.nl/26819355e513c97a493309daf2291765	A01AB02
http://www.UMCG.nl/2eeff331e76d907957579214ac11ce5f	A01AB02
http://www.UMCG.nl/4dcf3f8daa0b0a6bcc1b49cc8db74d2e	A01AB02
http://www.UMCG.nl/5d33eca87f06e3210408ffc251ee5b4e	A01AB02
http://www.UMCG.nl/92370fa5bbab463f24d0f6586e54a808	A01AB02
http://www.UMCG.nl/a20e2719bcc6ea78d03963872db9902d	A01AB02
http://www.UMCG.nl/b076d176fb62d791da6adf822f760be1	A01AB02
http://www.UMCG.nl/e36f8e4345b374bda034b3184215cabf	A01AB02
http://www.UMCG.nl/f5b1a1293b41ed92cabcf4b543576b4b	A01AB02
http://www.UMCG.nl/ff50f34cf188c09dff67da32ed3a81f7	A01AB02
http://www.UMCG.nl/125640ce81c63a955e4b9392be777afc	A01AB03
http://www.UMCG.nl/1ed87b3f6fc59230497fd38747b7329c	A01AB03
http://www.UMCG.nl/30359b7aab842ff7305cf45dd17bcc71	A01AB03
http://www.UMCG.nl/55b3ff57080e3833d2dd6c2c03cd3f8e	A01AB03
http://www.UMCG.nl/56d21a86051b96aa8fc85fca31afd7c5	A01AB03
http://www.UMCG.nl/60875e403525ff70e327edce43a68111	A01AB03
http://www.UMCG.nl/627399554f8402f1f3f69e96e0476401	A01AB03
http://www.UMCG.nl/7dde40a478ffbe6d9e3f17403fd52ee1	A01AB03
